iter	Logloss
0	0.6396123153
1	0.5928278316
2	0.5529248394
3	0.5163609898
4	0.4856450378
5	0.4583982894
6	0.4339385941
7	0.414050259
8	0.3948505851
9	0.3781954488
10	0.3650250819
11	0.3523848253
12	0.3415540042
13	0.3320854146
14	0.3238007058
15	0.316779313
16	0.3100511622
17	0.3043472167
18	0.2987808723
19	0.2945439044
20	0.2905340114
21	0.287001496
22	0.2833534147
23	0.2801291483
24	0.2776992746
25	0.2753447737
26	0.2733551569
27	0.2712507936
28	0.2697442846
29	0.2680704769
30	0.266627132
31	0.2655910929
32	0.2642940133
33	0.2632598168
34	0.262186578
35	0.2612726359
36	0.2603234496
37	0.2595031011
38	0.2587409395
39	0.2580988788
40	0.257369568
41	0.2568635897
42	0.2562821076
43	0.2557935121
44	0.2553828047
45	0.2549764872
46	0.2545266675
47	0.254129207
48	0.2538237875
49	0.2534666444
50	0.2531744155
51	0.2529018391
52	0.2526212654
53	0.2523622211
54	0.2521517939
55	0.251907491
56	0.2516726876
57	0.2514038489
58	0.2512419815
59	0.2510347358
60	0.2508503727
61	0.2506932263
62	0.2505658183
63	0.2504325367
64	0.2502974089
65	0.2501566651
66	0.2500443504
67	0.2499113162
68	0.249799805
69	0.2496847626
70	0.2496040297
71	0.2495009645
72	0.2494201166
73	0.2492743685
74	0.2491903163
75	0.2490762707
76	0.2489882319
77	0.24886218
78	0.2487748764
79	0.2486875014
80	0.2485909286
81	0.2485309217
82	0.2484537088
83	0.2483266809
84	0.2482459926
85	0.2481836887
86	0.2481070745
87	0.2480135151
88	0.2479535683
89	0.2478639034
90	0.247765427
91	0.2477149882
92	0.2476484337
93	0.247598317
94	0.2475164446
95	0.2474308835
96	0.2473770784
97	0.2473303455
98	0.2472593158
99	0.2471976341
100	0.2471352887
101	0.2470799895
102	0.247030738
103	0.2469489867
104	0.2469144771
105	0.2468476459
106	0.2467658838
107	0.2467061151
108	0.24665619
109	0.2465912963
110	0.2465259262
111	0.2464751972
112	0.2464345902
113	0.2463898035
114	0.2463367401
115	0.2462798849
116	0.246243098
117	0.2461859245
118	0.2461190863
119	0.2460711593
120	0.2460245351
121	0.2459562161
122	0.2459261977
123	0.2458909811
124	0.2458489125
125	0.245808815
126	0.2457725188
127	0.2457387756
128	0.2457033049
129	0.2456555512
130	0.2456103688
131	0.245546249
132	0.2455137439
133	0.2454804029
134	0.2454536494
135	0.2454194376
136	0.2453734154
137	0.2453333335
138	0.2452929696
139	0.2452557502
140	0.2452251752
141	0.2451821526
142	0.2451487929
143	0.2451212357
144	0.2450811434
145	0.2450413006
146	0.2449915914
147	0.2449267153
148	0.2448854974
149	0.2448418864
