iter	Passed	Remaining
0	21	3173
1	41	3074
2	61	3035
3	83	3034
4	106	3080
5	128	3087
6	165	3372
7	195	3470
8	226	3549
9	254	3561
10	277	3508
11	300	3461
12	322	3399
13	345	3360
14	369	3327
15	395	3309
16	420	3287
17	443	3253
18	466	3219
19	490	3189
20	513	3152
21	537	3128
22	563	3113
23	589	3096
24	612	3063
25	636	3033
26	659	3002
27	684	2983
28	707	2952
29	732	2928
30	753	2893
31	775	2858
32	800	2836
33	823	2811
34	850	2792
35	874	2768
36	898	2745
37	925	2726
38	951	2708
39	975	2683
40	1002	2665
41	1029	2648
42	1055	2627
43	1082	2606
44	1106	2581
45	1129	2553
46	1153	2528
47	1180	2508
48	1205	2484
49	1231	2462
50	1256	2438
51	1279	2411
52	1305	2389
53	1329	2364
54	1353	2337
55	1376	2310
56	1400	2284
57	1423	2258
58	1451	2239
59	1477	2216
60	1500	2188
61	1523	2163
62	1548	2137
63	1572	2112
64	1597	2089
65	1622	2064
66	1647	2041
67	1672	2016
68	1696	1991
69	1721	1967
70	1743	1940
71	1766	1914
72	1791	1889
73	1817	1866
74	1839	1839
75	1863	1814
76	1890	1791
77	1914	1767
78	1938	1742
79	1961	1716
80	1990	1695
81	2015	1671
82	2039	1646
83	2065	1623
84	2090	1598
85	2113	1573
86	2138	1548
87	2164	1524
88	2188	1499
89	2212	1475
90	2241	1453
91	2264	1427
92	2289	1403
93	2313	1378
94	2338	1353
95	2363	1329
96	2389	1305
97	2411	1279
98	2436	1254
99	2460	1230
100	2484	1205
101	2509	1180
102	2533	1156
103	2560	1132
104	2583	1107
105	2608	1082
106	2631	1057
107	2655	1032
108	2678	1007
109	2702	982
110	2726	957
111	2749	933
112	2774	908
113	2800	884
114	2823	859
115	2846	834
116	2869	809
117	2894	785
118	2919	760
119	2944	736
120	2968	711
121	2993	687
122	3017	662
123	3040	637
124	3063	612
125	3087	588
126	3110	563
127	3132	538
128	3158	514
129	3182	489
130	3209	465
131	3236	441
132	3257	416
133	3279	391
134	3302	366
135	3325	342
136	3349	317
137	3370	293
138	3393	268
139	3414	243
140	3437	219
141	3461	195
142	3485	170
143	3511	146
144	3534	121
145	3557	97
146	3580	73
147	3604	48
148	3627	24
149	3651	0
