SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
200001,Cash loans,F,Y,N,0,81000.0,219843.0,14989.5,198175.5,Group of people,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.026392,-23554,-10159,-4427,-5251,4.0,1,1,0,1,1,0,Managers,1.0,1,1,SUNDAY,5,0,0,0,0,0,0,Self-employed,0.930393,0.624101,0.52834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-3589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
200002,Cash loans,M,N,N,0,202500.0,846441.0,54918.0,760590.0,Children,State servant,Higher education,Single / not married,With parents,0.003122,-21883,-7243,-11813,-947,,1,1,1,1,1,0,Drivers,1.0,1,1,THURSDAY,7,0,0,0,0,0,1,Medicine,,0.723794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0
200003,Cash loans,F,N,Y,2,202500.0,679896.0,38218.5,646785.0,Group of people,Working,Higher education,Married,With parents,0.007274,-15465,-10513,-8650,-4978,,1,1,1,1,0,1,Managers,4.0,1,1,SATURDAY,9,0,0,0,0,1,1,Construction,,0.678655,0.474724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
200004,Cash loans,F,Y,Y,0,202500.0,248823.0,9297.0,232830.0,Other_A,Pensioner,Secondary / secondary special,Widow,With parents,0.010032,-24661,365243,-1969,-4675,21.0,1,0,0,1,0,1,,1.0,2,2,MONDAY,11,0,1,0,0,1,1,XNA,0.566587,0.60428,0.409478,0.1575,0.095841,0.941589,0.819168,0.121599,0.059421,0.100035,0.510143,,0.18557,,0.057137,,0,0.158197,0.096188,0.946783,0.777085,0.120143,0.06393,0.105759,0.49141,,0.192549,,0.05863,,0,0.155703,0.093088,0.948749,0.79104,0.116924,0.062986,0.099768,0.492544,,0.182746,,0.057461,,0,,block of flats,0.099222,Mixed,No,2.0,0.0,1.0,0.0,-1068,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0
200005,Cash loans,M,Y,N,0,405000.0,2001888.0,119803.5,1565577.0,Unaccompanied,State servant,Secondary / secondary special,Widow,House / apartment,0.005002,-17939,-2338,-12168,-4541,34.0,1,1,0,1,1,0,Cleaning staff,1.0,1,1,TUESDAY,16,0,0,0,0,0,1,Medicine,0.50543,0.714697,0.368109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,-1028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
200006,Cash loans,M,N,N,3,67500.0,429822.0,51102.0,347629.5,Unaccompanied,Commercial associate,Incomplete higher,Widow,Municipal apartment,0.035792,-8555,-819,-10873,-1029,,1,1,1,1,1,1,Security staff,4.0,3,3,WEDNESDAY,11,1,1,0,0,0,1,Trade: type 7,,0.213552,0.02,0.13328,0.202523,1,0.384204,0.066281,0,0.20304,0.511495,0.484324,0.092065,0.23808,0.321917,0,0,0.128766,0.21013,0.975897,0.360839,0.062825,0,0.212931,0.518676,0.491165,0.090415,0.229583,0.3419,0,0,0.12678,0.213004,0.971984,0.389015,0.063197,0,0.205817,0.509142,0.492547,0.090163,0.231652,0.326203,0,0,not specified,block of flats,0.132889,Mixed,No,2.0,2.0,1.0,1.0,-178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,2.0,4.0
200007,Cash loans,M,Y,Y,1,202500.0,619641.0,26982.0,543595.5,Group of people,State servant,Secondary / secondary special,Married,With parents,0.02461,-24708,-3480,-6552,-2007,18.0,1,1,0,1,0,0,Security staff,3.0,1,1,TUESDAY,7,0,1,0,0,1,0,Business Entity Type 3,0.762007,0.738817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-3474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
200008,Cash loans,F,Y,N,2,405000.0,1930108.5,123084.0,1765633.5,Other_A,State servant,Secondary / secondary special,Civil marriage,House / apartment,0.010032,-24057,-8005,-1129,-5348,30.0,1,1,0,1,0,0,Managers,4.0,2,2,SUNDAY,5,0,1,0,0,0,0,Government,0.737729,0.944131,0.783441,0.312518,0.018355,0.941966,0.586108,0.028367,0,0.103716,0.339556,,0.104962,,0.155861,0,,0.307407,0.017707,0.948878,0.599301,0.028161,0,0.106217,0.344487,,0.106445,,0.151466,0,,0.315396,0.017958,0.925525,0.587935,0.028312,0,0.101416,0.328697,,0.102132,,0.14909,0,,org spec account,block of flats,0.251044,Panel,No,1.0,0.0,1.0,0.0,-468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0
200009,Cash loans,F,Y,N,0,90000.0,454945.5,30078.0,426757.5,,Working,Secondary / secondary special,Civil marriage,House / apartment,0.031329,-19564,-5796,-10843,-3044,37.0,1,1,0,1,1,0,Security staff,2.0,2,2,SUNDAY,12,0,0,0,0,0,0,Industry: type 3,0.826496,0.528798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,3.0,0.0,-1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0
200010,Cash loans,M,N,Y,0,315000.0,926824.5,42390.0,871978.5,Children,Working,Higher education,Separated,House / apartment,0.003122,-23489,-5269,-7832,-943,,1,1,0,1,1,0,Sales staff,1.0,2,2,FRIDAY,15,0,1,0,0,0,0,Government,0.896809,0.634712,0.835019,0.303924,0.155267,0.961476,0.357277,0.169634,0,0.136033,0.338709,0.327192,,,0.169624,0.000669,,0.301118,0.149565,0.966302,0.363871,0.166353,0,0.137726,0.339288,0.346008,,,0.173407,0.000678,,0.298845,0.150486,0.942531,0.347256,0.164018,0,0.13541,0.345947,0.334723,,,0.175799,0.000669,,not specified,block of flats,0.40076,Mixed,No,0.0,0.0,0.0,0.0,-348,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
200011,Cash loans,M,Y,Y,0,315000.0,945648.0,65632.5,829710.0,Family,Commercial associate,Higher education,Single / not married,With parents,0.018209,-16419,-5703,-7443,-592,39.0,1,1,0,1,1,1,Cleaning staff,1.0,1,1,SATURDAY,17,0,0,0,0,0,0,XNA,,0.783605,0.7696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,-610,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
200012,Cash loans,M,N,N,1,202500.0,704056.5,28143.0,593869.5,Group of people,State servant,Higher education,Widow,House / apartment,0.007274,-18184,-5682,-7146,-5209,,1,1,1,1,0,0,Low-skill Laborers,2.0,1,1,THURSDAY,10,0,0,0,0,1,0,Government,0.476646,0.560944,0.656709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-2841,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
200013,Cash loans,M,N,Y,2,67500.0,165919.5,12244.5,141219.0,,State servant,Higher education,Married,House / apartment,0.031329,-23958,-718,-256,-5927,,1,1,0,1,1,1,Core staff,4.0,1,1,MONDAY,12,0,0,0,0,0,1,Trade: type 7,,0.516776,0.363846,0.252481,0.02774,0.97723,0.736598,0.042672,0,0.207036,0.214621,,0.021103,0.113297,0.253642,0.006117,0.052655,0.246048,0.027399,0.980352,0.721767,0.043373,0,0.206729,0.202444,,0.020569,0.113933,0.248921,0.00618,0.050705,0.24239,0.026048,1,0.737803,0.042155,0,0.199346,0.212378,,0.020843,0.118236,0.245632,0.006239,0.052193,reg oper spec account,block of flats,0.337335,"Stone, brick",No,1.0,0.0,0.0,0.0,-3488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,2.0
200014,Cash loans,F,Y,Y,2,360000.0,1321141.5,82408.5,1098724.5,,Pensioner,Higher education,Married,House / apartment,0.035792,-22451,365243,-12003,-1085,5.0,1,0,0,1,1,0,,4.0,1,1,SATURDAY,11,0,0,0,0,0,0,XNA,0.633239,0.82565,0.826818,0.138631,0.03248,0.949321,0.703241,0.140891,0.103747,0.139433,0.331282,,,0.223645,0.094614,,0,0.133081,0.031982,0.955508,0.7106,0.143507,0.107086,0.135641,0.346044,,,0.231096,0.09041,,0,0.136317,0.032652,0.940816,0.712549,0.142616,0.106356,0.135541,0.341269,,,0.230162,0.090983,,0,,block of flats,0.153422,"Stone, brick",No,0.0,0.0,0.0,0.0,-2174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
200015,Cash loans,F,N,N,3,270000.0,2025000.0,183784.5,1937785.5,Other_A,Working,Lower secondary,Widow,With parents,0.04622,-11347,-204,-10415,-3812,,1,1,1,1,1,0,Core staff,4.0,3,3,MONDAY,5,0,1,0,1,0,0,XNA,0.307993,0.170565,0.062252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,17.0,1.0,-464,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0,1.0,3.0,3.0
200016,Cash loans,F,N,N,3,202500.0,1360426.5,90877.5,1345918.5,Family,Unemployed,Incomplete higher,Single / not married,House / apartment,0.003122,-13675,-282,-3995,-1040,,1,1,0,1,0,1,Managers,4.0,3,3,FRIDAY,8,0,1,0,1,0,1,Government,,0.174471,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,0.0,-256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0
200017,Cash loans,F,Y,Y,2,202500.0,457947.0,23737.5,369967.5,,Working,Higher education,Civil marriage,House / apartment,0.04622,-16480,-12916,-8037,-5844,30.0,1,1,1,1,0,0,Low-skill Laborers,4.0,2,2,FRIDAY,7,0,0,0,0,0,0,XNA,,0.594573,0.709952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,2.0,0.0,-1560,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,3.0
200018,Cash loans,F,Y,Y,2,81000.0,134271.0,9414.0,124069.5,,State servant,Secondary / secondary special,Single / not married,House / apartment,0.02461,-20854,-12510,-12204,-3061,27.0,1,1,0,1,0,1,Accountants,3.0,2,2,FRIDAY,10,0,1,0,0,0,0,Construction,0.615924,0.497857,0.762488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,3.0,0.0,-3555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0
200019,Cash loans,F,Y,N,0,202500.0,1454931.0,133155.0,1184373.0,Unaccompanied,Working,Lower secondary,Civil marriage,Rented apartment,0.035792,-9332,-418,-11629,-5253,23.0,1,1,1,1,1,0,Security staff,2.0,2,2,MONDAY,10,0,1,1,0,0,1,Self-employed,0.405253,0.02,0.07038,0.255019,0.066104,0.986327,0.341101,,0.062873,0.274644,0.041447,0.042057,0.020048,,0.129813,0.014817,,0.244366,0.065861,0.980433,0.356483,,0.065191,0.271671,0.040768,0.043316,0.019468,,0.129695,0.015329,,0.252723,0.069413,0.950369,0.343089,,0.065037,0.274369,0.040463,0.041809,0.019751,,0.13346,0.015001,,org spec account,block of flats,0.227057,Panel,No,17.0,1.0,17.0,1.0,-603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,3.0,2.0,3.0
200020,Revolving loans,M,Y,N,0,315000.0,1175863.5,50274.0,1054435.5,Other_A,Commercial associate,Higher education,Single / not married,With parents,0.020713,-18692,-6452,-7210,-568,15.0,1,1,1,1,1,1,Drivers,1.0,2,2,SUNDAY,9,0,1,0,0,0,0,XNA,,0.466157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1891,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
